Team,City,Stadium,Capacity,Latitude,Longitude
1. FC Kaiserslautern ,Kaiserslautern ,Fritz-Walter-Stadion ,49780,49.434722,7.776667
1. FC Köln ,Cologne ,RheinEnergieStadion ,50000,50.933497,6.874997
FC St. Pauli ,Hamburg ,Millerntor-Stadion ,24487,53.554444,9.967778
Almería ,Almería ,Estadio del Mediterráneo ,22000,36.84,-2.435278
Athletic Bilbao ,Bilbao ,San Mamés ,53332,43.264284,-2.950366
Atlético Madrid ,Madrid ,Vicente Calderón ,54851,40.401719,-3.720606
Barcelona ,Barcelona ,Camp Nou ,99354,41.38087,2.122802
Betis ,Seville ,Benito Villamarín ,52500,37.356389,-5.981389
Celta de Vigo ,Vigo ,Balaídos ,31800,42.211842,-8.739711
Elche ,Elche ,Martínez Valero ,36017,38.266944,-0.663333
Espanyol ,Cornellà de Llobregat ,Cornellà-El Prat ,40500,41.347861,2.075667
Getafe ,Getafe ,Coliseum Alfonso Pérez ,17700,40.325556,-3.714722
Granada ,Granada ,Nuevo Los Cármenes ,22524,37.152967,-3.595736
Levante ,Valencia ,Ciutat de València ,25534,39.494722,-0.364167
Málaga ,Málaga ,La Rosaleda ,30044,36.734092,-4.426422
Osasuna ,Pamplona ,El Sadar ,19553,42.796667,-1.636944
Rayo Vallecano ,Madrid ,Campo de Vallecas ,15489,40.391944,-3.658961
Real Madrid ,Madrid ,Santiago Bernabéu ,85454,40.45306,-3.68835
Real Sociedad ,San Sebastián ,Anoeta ,32076,43.301378,-1.973617
Sevilla ,Seville ,Ramón Sánchez Pizjuán ,45500,37.384,-5.9705
Valencia ,Valencia ,Mestalla ,55000,39.474656,-0.358361
Valladolid ,Valladolid ,Nuevo José Zorrilla ,26512,41.644444,-4.761111
Villarreal ,Villarreal ,El Madrigal ,24890,39.944167,-0.103611
Deportivo La Coruña ,A Coruña ,Riazor ,34600,43.368714,-8.417516
Mallorca ,Palma ,Iberostar Stadium ,23142,39.59,2.63
Zaragoza ,Zaragoza ,La Romareda ,34596,41.636592,-0.901822
Ajaccio ,Ajaccio ,Stade François Coty ,10660,41.931081,8.776725
Bastia ,Bastia ,Stade Armand Cesari ,16480,42.6514,9.442619
Bordeaux ,Bordeaux ,Stade Chaban-Delmas ,34462,44.829167,-0.597778
Évian ,Annecy ,Parc des Sports ,15660,45.916497,6.118054
Guingamp ,Guingamp ,Stade du Roudourou ,18126,48.566285,-3.164599
Lille ,Villeneuve-d'Ascq ,Stade Pierre-Mauroy ,50186,50.611883,3.130428
Lorient ,Lorient ,Stade du Moustoir ,18890,47.748747,-3.369367
Lyon ,Lyon ,Stade de Gerland ,41842,45.723889,4.832222
Marseille ,Marseille ,Stade Velodrome,48000,43.269722,5.395833
AS Monaco ,Monaco ,Stade Louis II ,18500,43.727606,7.415614
Montpellier ,Montpellier ,Stade de la Mosson ,32939,43.622222,3.811944
Nantes ,Nantes ,Stade de la Beaujoire ,38285,47.255631,-1.525375
Nice ,Nice ,Allianz Riviera ,35624,43.723328,7.258756
Paris Saint-Germain ,Paris ,Parc des Princes ,48712,48.841389,2.253056
Reims ,Reims ,Stade Auguste-Delaune II ,21684,49.246667,4.025
Rennes ,Rennes ,Stade de la Route de Lorient ,31127,48.107458,-1.712839
Saint-Étienne ,Saint-Étienne ,Stade Geoffroy-Guichard,26747,45.460833,4.390278
Sochaux ,Montbéliard ,Stade Auguste Bonal ,20005,47.512417,6.8112
Toulouse ,Toulouse ,Stadium Municipal,35470,43.583056,1.434167
Valenciennes ,Valenciennes ,Stade du Hainaut ,25172,50.348131,3.533027
Nancy,Tomblaine ,Stade Marcel Picot ,20085,48.6955,6.210687
Dijon,Dijon,Stade Gaston Gérard ,15998,47.324383,5.068342
Troyes ,Troyes,Stade de l'Aube ,21877,48.307561,4.098458
Auxerre ,Auxerre ,Stade de l'Abbé-Deschamps ,24493,47.786753,3.588664
Brest,Brest,Stade Francis-Le Blé ,16000,48.402932,-4.461694
Caen,Caen ,Stade Michel d'Ornano ,21500,49.179461,-0.396767
Sporting de Gijón,Gijón,El Molinón,30000,43.536111,-5.637222
Racing de Santander,Santander,Campos de Sport de El Sardinero,22222,43.476389,-3.793333
